Unnamed: 0,Id,Question,Answer,Short Answer,Depiction,CulturalProperty,CulturalProperty Class
1027496,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1014524/ICCD10469212_DISPACFP_IN_212.jpg,https://w3id.org/arco/resource/PhotographicHeritage/1500818886,PhotographicHeritage
1027497,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1014524/ICCD10469327_DISPACFP_IN_249.jpg,https://w3id.org/arco/resource/PhotographicHeritage/1500819307,PhotographicHeritage
1027498,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1005566/ICCD10708364_P_000004.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0800265619,PhotographicHeritage
1027499,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007109/ICCD5516469_00236972.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0800392506,PhotographicHeritage
1027500,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1010085/ICCD10239048_FP_ED_NE_515.jpg,https://w3id.org/arco/resource/PhotographicHeritage/1500818212,PhotographicHeritage
1027501,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007109/ICCD5516455_00236965.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0800392499,PhotographicHeritage
1027502,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756030_5945f.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559784,PhotographicHeritage
1027503,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756144_6616.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559843,PhotographicHeritage
1027504,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1039018/ICCD13577913_D00197805.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0300197805,PhotographicHeritage
1027505,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12506/ICCD2237041_00156213.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0100168570,PhotographicHeritage
1027506,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12506/ICCD2237049_00156229.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0100168574,PhotographicHeritage
1027507,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1014524/ICCD10469325_DISPACFP_IN_248.jpg,https://w3id.org/arco/resource/PhotographicHeritage/1500819263,PhotographicHeritage
1027508,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756148_6618.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559845,PhotographicHeritage
1027509,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756376_6596.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559963,PhotographicHeritage
1027510,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756142_6615.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559842,PhotographicHeritage
1027511,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756368_6592.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559959,PhotographicHeritage
1027512,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756380_6598.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559965,PhotographicHeritage
1027513,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007125/ICCD5756396_6608.jpg,https://w3id.org/arco/resource/PhotographicHeritage/0900559973,PhotographicHeritage
1027514,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1010085/ICCD10239044_FP_ED_NE_514.jpg,https://w3id.org/arco/resource/PhotographicHeritage/1500818211,PhotographicHeritage
1027515,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1014524/ICCD10468478_FP_IN_27.jpg,https://w3id.org/arco/resource/PhotographicHeritage/1500818524,PhotographicHeritage
1027516,BLACKANDWHITE,Is it black and white or colored?,The cultural asset is black and white.,Black and white,http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1014524/ICCD10468780_FP_IN_74.jpg,https://w3id.org/arco/resource/PhotographicHeritage/1500818811,PhotographicHeritage
